GENDER,WORK_COUNTRY,AGE,FLIGHT_COUNT,BP_SUM,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,avg_discount,Points_Sum,Point_NotFlight,GENDER_label,WORK_COUNTRY_label
Male,CN,51.0,6,22494,9350.0,9300.0,45504,246,90.8,238,0.7583333329999999,22494,0,1,15
Male,CN,49.0,26,28060,4996.0,14100.0,45524,21,26.6,110,0.749481153,28060,0,1,15
Male,CN,57.0,6,28100,0.0,15210.0,44478,181,35.0,112,0.7639439720000001,28100,0,1,15
Male,CN,63.0,28,27888,10475.0,12206.0,43656,137,21.77777778,75,0.778205287,28712,2,1,15
Male,CN,46.0,32,28340,13018.0,15261.0,43453,11,23.22580645,122,0.778321635,28340,0,1,15
Male,CN,43.0,29,28253,13788.0,8773.0,39137,29,23.39285714,79,0.8559912609999999,28253,1,1,15
Male,CN,47.0,26,23779,11669.0,15566.0,42992,34,27.24,77,0.7688593229999999,23779,0,1,15
Male,CN,53.0,23,27787,13562.0,14581.0,40593,12,32.18181818,148,0.8107752570000001,27787,0,1,15
Male,CN,53.0,25,24642,13324.0,10791.0,45598,65,26.70833333,229,0.721385587,24642,0,1,15
Male,CN,37.0,29,27686,13368.0,15621.0,42653,34,23.5,148,0.7687996159999999,27686,0,1,15
Male,CN,38.0,28,28233,1530.0,14903.0,42339,6,20.0,60,0.7740546540000001,28833,2,1,15
Male,CN,45.0,25,24005,13913.0,13312.0,43125,83,26.29166667,156,0.7589266090000001,24005,0,1,15
Male,CN,48.0,31,27860,1677.0,3346.0,44630,63,21.66666667,76,0.731039883,27860,0,1,15
Female,CN,60.0,17,21532,13683.0,11106.0,46094,3,45.3125,180,0.707493383,23032,1,0,15
Male,CN,47.0,9,24523,4002.0,15900.0,44132,41,78.375,305,0.7341883440000001,24523,0,1,15
Male,CN,48.0,33,27504,6714.0,6397.0,41594,1,22.21875,98,0.776507189,29504,2,1,15
Male,CN,47.0,15,25976,13819.0,8449.0,40163,13,51.0,233,0.8018855659999999,26864,1,1,15
Male,CN,59.0,30,25978,10570.0,15811.0,44064,134,17.31034483,198,0.7293906590000001,27814,0,1,15
Male,CN,45.0,20,27820,7589.0,6461.0,45517,43,35.68421053,156,0.7027745679999999,28281,1,1,15
Male,AU,34.0,6,22494,9300.0,7900.0,45504,1,132.6,294,0.7,22494,0,1,5
Female,CN,42.0,33,28100,1250.0,6624.0,45945,12,22.1875,94,0.6921264559999999,28100,0,0,15
Female,CN,50.0,29,27153,13605.0,14788.0,38248,5,24.10714286,185,0.829479188,27153,0,0,15
Male,CN,45.0,26,24409,12022.0,12633.0,42481,4,29.04,122,0.746172171,24409,0,1,15
Female,CN,34.0,16,25441,14298.0,9037.0,43723,265,27.6,111,0.7200841659999999,25441,0,0,15
Male,CN,38.0,14,25014,10083.0,14479.0,45691,18,34.53846154,111,0.688437986,25014,0,1,15
Male,CN,57.0,17,24193,12102.0,12370.0,42671,75,34.625,163,0.736435284,24193,0,1,15
Male,CN,37.0,31,27678,2920.0,9596.0,38753,143,18.96666667,66,0.810013676,27678,0,1,15
Female,CN,48.0,24,25553,13301.0,13217.0,44232,52,28.7826087,104,0.7078676070000001,28017,1,0,15
Male,CN,41.0,28,27277,3975.0,3809.0,42080,32,24.85185185,84,0.7422718629999999,27277,0,1,15
Male,CN,46.0,33,28279,6969.0,14981.0,43946,18,20.90625,112,0.708699768,28279,0,1,15
Male,CN,45.0,23,25762,13777.0,14426.0,42745,41,25.77272727,113,0.728376886,25762,0,1,15
Male,CN,32.0,11,25954,5971.0,14503.0,43637,3,71.1,205,0.7115179779999999,25954,0,1,15
Male,CN,51.0,23,24662,10421.0,14637.0,39520,50,29.40909091,103,0.78335248,24662,0,1,15
Male,CN,44.0,13,24382,8100.0,15915.0,38741,123,38.75,163,0.798567667,24382,0,1,15
Male,CN,39.0,14,25580,8867.0,13161.0,39177,44,51.84615385,137,0.789272022,25580,0,1,15
Male,CN,33.0,29,25692,9661.0,11725.0,46350,4,25.82142857,87,0.6666755120000001,26580,1,1,15
Female,CN,47.0,33,25002,13544.0,12895.0,44332,115,19.21875,92,0.692801588,25002,0,0,15
Female,CN,40.0,30,23191,14962.0,8134.0,40227,73,21.72413793,156,0.7625109999999999,23191,0,0,15
Male,CN,48.0,30,27515,14951.0,11759.0,37083,6,24.17241379,76,0.826435833,27515,0,1,15
Female,CN,47.0,8,18575,2650.0,14449.0,44346,64,81.57142857,326,0.6908099940000001,19274,1,0,15
Male,CN,61.0,32,28142,11535.0,3787.0,41029,10,23.22580645,156,0.7460679029999999,28142,1,1,15
Male,CN,37.0,31,28488,10827.0,12996.0,36910,150,17.3,48,0.828173395,28488,0,1,15
Male,CN,62.0,27,24694,9349.0,15194.0,42540,18,24.15384615,126,0.7184283029999999,24694,0,1,15
Male,CN,46.0,32,23816,10095.0,2268.0,44924,37,20.48387097,111,0.680194106,23816,0,1,15
Male,CN,36.0,24,24988,14398.0,13539.0,34813,1,31.2173913,119,0.877744808,24988,0,1,15
Male,CN,51.0,33,27182,14776.0,13351.0,36351,11,21.8125,125,0.840588705,27182,0,1,15
Female,CN,50.0,20,20933,13416.0,8383.0,44524,141,30.94736842,154,0.6851309409999999,20933,0,0,15
Male,CN,46.0,14,18850,2025.0,15218.0,41845,11,53.23076923,316,0.728443542,18850,0,1,15
Female,CN,45.0,7,25261,11000.0,2101.0,45004,44,92.5,397,0.676668741,25261,0,0,15
Male,CN,32.0,5,23607,3900.0,7857.0,40630,70,92.75,284,0.748002707,23607,0,1,15
Female,CN,41.0,33,27499,12625.0,15354.0,39565,8,22.0625,114,0.765977253,27499,1,0,15
Male,CN,59.0,30,27710,8397.0,7923.0,35061,38,23.89655172,127,0.862849035,29210,1,1,15
Male,CN,44.0,8,24749,14950.0,1420.0,41198,15,87.14285714,322,0.734264285,24749,0,1,15
Female,CN,54.0,21,27054,12772.0,10713.0,40584,8,32.95,134,0.744602799,27054,0,0,15
Male,CN,57.0,25,24823,3897.0,12125.0,43669,11,27.875,78,0.689853672,24823,0,1,15
Male,CN,35.0,14,25176,9409.0,12106.0,45098,44,52.61538462,131,0.66660118,25176,0,1,15
Male,JP,42.0,12,28164,9808.0,15800.0,38760,18,48.81818182,163,0.775,29336,2,1,35
Male,CN,63.0,5,21370,4250.0,6889.0,38854,67,131.0,333,0.772052298,21370,0,1,15
Female,CN,33.0,24,26931,7830.0,12373.0,39513,106,18.47826087,59,0.758672083,27022,0,0,15
Male,DE,31.0,23,27319,3648.0,0.0,35873,188,24.63636364,300,0.835571042,27319,0,1,17
Female,CN,36.0,20,23262,9082.0,12576.0,44200,56,35.26315789,194,0.678120814,25254,1,0,15
Male,CN,46.0,28,20470,9311.0,9104.0,44545,123,22.03703704,113,0.672774049,20470,0,1,15
Female,CN,38.0,30,23392,3897.0,6263.0,42357,25,23.82758621,136,0.707442453,23392,0,0,15
Male,CN,37.0,27,25462,10795.0,12993.0,45334,13,26.26923077,184,0.6608324879999999,26962,1,1,15
Male,CN,39.0,22,28279,9242.0,3837.0,31874,85,28.71428571,155,0.938864906,28279,0,1,15
Male,CN,54.0,12,23241,2560.0,13307.0,42582,176,34.09090909,170,0.702412757,23241,0,1,15
Male,AU,49.0,12,21946,7368.0,11835.0,43937,37,60.45454545,305,0.679375925,21946,0,1,5
Male,CN,44.0,21,24173,13520.0,10359.0,34486,163,25.65,89,0.862321812,24173,0,1,15
Male,CN,57.0,22,23746,13882.0,14578.0,39606,11,31.23809524,104,0.750505731,23746,0,1,15
Male,CN,40.0,27,25826,11608.0,15608.0,39981,42,19.88461538,70,0.7423493659999999,25826,0,1,15
Male,CN,59.0,23,24605,5843.0,5683.0,39297,65,29.36363636,81,0.754438507,24605,0,1,15
Male,CN,43.0,31,24645,6678.0,11766.0,42763,125,20.2,100,0.692363024,24645,0,1,15
Male,CN,46.0,22,27409,11750.0,11310.0,35409,8,34.23809524,126,0.835145584,27409,0,1,15
Female,CN,39.0,31,28017,4031.0,13328.0,37007,4,21.6,163,0.799061259,28017,0,0,15
